# tracer: nop
#
# entries-in-buffer/entries-written: 2022/2022   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-15643   [000] .Ns. 227544.012682: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d53be9 snd_una=0xa3d53bc5 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1688 rcv_wnd=62780 sock_cookie=72
          <idle>-0       [001] ..s. 227553.394873: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccb13f snd_una=0xdecb8577 snd_cwnd=40 ssthresh=30 snd_wnd=116224 srtt=736109 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.407296: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccb6e7 snd_una=0xdecb8577 snd_cwnd=40 ssthresh=30 snd_wnd=119168 srtt=747311 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.419037: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccb6e7 snd_una=0xdecb8577 snd_cwnd=39 ssthresh=30 snd_wnd=122112 srtt=758665 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.431717: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccbc8f snd_una=0xdecb8577 snd_cwnd=39 ssthresh=30 snd_wnd=124928 srtt=770067 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.484843: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccc237 snd_una=0xdecb8577 snd_cwnd=39 ssthresh=30 snd_wnd=127872 srtt=781630 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.497027: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccc237 snd_una=0xdecb8577 snd_cwnd=38 ssthresh=30 snd_wnd=130816 srtt=792684 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.509142: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccc7df snd_una=0xdecb8577 snd_cwnd=38 ssthresh=30 snd_wnd=133632 srtt=803880 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.521606: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecccd87 snd_una=0xdecb8577 snd_cwnd=38 ssthresh=30 snd_wnd=136576 srtt=815190 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.564319: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecccd87 snd_una=0xdecb8577 snd_cwnd=37 ssthresh=30 snd_wnd=139392 srtt=826645 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.577089: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccd32f snd_una=0xdecb8577 snd_cwnd=37 ssthresh=30 snd_wnd=142336 srtt=837914 rcv_wnd=65024 sock_cookie=74
