# tracer: nop
#
# entries-in-buffer/entries-written: 1993/1993   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-15643   [000] .... 229186.902148: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d5ad21 snd_una=0xa3d5acfd snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1668 rcv_wnd=62780 sock_cookie=72
     quic_server-16018   [001] ..s1 229194.707715: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4acd02f snd_una=0xb4ac3d1f snd_cwnd=26 ssthresh=25 snd_wnd=71936 srtt=497163 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.732706: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4acd5d7 snd_una=0xb4ac42c7 snd_cwnd=26 ssthresh=25 snd_wnd=74752 srtt=513837 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.757042: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4acdb7f snd_una=0xb4ac486f snd_cwnd=26 ssthresh=25 snd_wnd=77696 srtt=531550 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.781897: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ace127 snd_una=0xb4ac4e17 snd_cwnd=26 ssthresh=25 snd_wnd=80640 srtt=543981 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.805961: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ace6cf snd_una=0xb4ac53bf snd_cwnd=26 ssthresh=25 snd_wnd=83456 srtt=557965 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.830005: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4acec77 snd_una=0xb4ac5967 snd_cwnd=26 ssthresh=25 snd_wnd=86400 srtt=567199 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.835830: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=13 snd_nxt=0xb4acf21f snd_una=0xb4ac5f0f snd_cwnd=26 ssthresh=25 snd_wnd=89344 srtt=578285 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.899978: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4acf21f snd_una=0xb4ac5f0f snd_cwnd=26 ssthresh=25 snd_wnd=89344 srtt=578285 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] .Ns. 229194.948210: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4acfd6f snd_una=0xb4ac6a5f snd_cwnd=26 ssthresh=25 snd_wnd=95104 srtt=590581 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.995821: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad0317 snd_una=0xb4ac75af snd_cwnd=26 ssthresh=25 snd_wnd=100864 srtt=601336 rcv_wnd=65024 sock_cookie=76
