# tracer: nop
#
# entries-in-buffer/entries-written: 12461/40776   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [000] ..s. 218599.190314: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385dfca snd_una=0xf385dfca snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1456 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.191858: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385dfee snd_una=0xf385dfca snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1456 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.585297: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385dfee snd_una=0xf385dfee snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1393 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.586787: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385e012 snd_una=0xf385dfee snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1393 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.840220: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385e012 snd_una=0xf385e012 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1355 rcv_wnd=62780 sock_cookie=6d
            sshd-14793   [000] .N.. 218599.843566: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385e036 snd_una=0xf385e012 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1355 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.851369: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385e036 snd_una=0xf385e036 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1495 rcv_wnd=62780 sock_cookie=6d
            sshd-14793   [000] .... 218599.854560: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385e05a snd_una=0xf385e036 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1495 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.872035: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385e05a snd_una=0xf385e05a snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1384 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.872997: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385e07e snd_una=0xf385e05a snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1384 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.885324: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385e07e snd_una=0xf385e07e snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1281 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.886325: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385e0a2 snd_una=0xf385e07e snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1281 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.902949: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385e0a2 snd_una=0xf385e0a2 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1188 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.904689: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385e0c6 snd_una=0xf385e0a2 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1188 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.919484: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385e0c6 snd_una=0xf385e0c6 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1152 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.920533: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385e0ea snd_una=0xf385e0c6 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1152 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.936681: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385e0ea snd_una=0xf385e0ea snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1084 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.937641: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385e10e snd_una=0xf385e0ea snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1084 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.953923: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385e10e snd_una=0xf385e10e snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1030 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.955022: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385e132 snd_una=0xf385e10e snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1030 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.971169: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385e132 snd_una=0xf385e132 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=994 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.972959: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385e156 snd_una=0xf385e132 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=994 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218599.988054: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385e156 snd_una=0xf385e156 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1005 rcv_wnd=62780 sock_cookie=6d
            sshd-14793   [000] ..s. 218599.989635: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385e17a snd_una=0xf385e156 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1005 rcv_wnd=62780 sock_cookie=6d
##### CPU 1 buffer started ####
          <idle>-0       [001] ..s. 219134.717005: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x8642fcec snd_una=0x8642adbc snd_cwnd=14 ssthresh=10 snd_wnd=1878912 srtt=146577 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219134.741075: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x8643083c snd_una=0x8642b90c snd_cwnd=14 ssthresh=10 snd_wnd=1878912 srtt=146483 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219134.753209: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x8643138c snd_una=0x8642beb4 snd_cwnd=14 ssthresh=10 snd_wnd=1878912 srtt=149409 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219134.765307: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x86431934 snd_una=0x8642beb4 snd_cwnd=14 ssthresh=10 snd_wnd=1878912 srtt=150455 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219134.789604: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x86431934 snd_una=0x8642beb4 snd_cwnd=13 ssthresh=9 snd_wnd=1878912 srtt=149805 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219134.802612: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x86431edc snd_una=0x8642beb4 snd_cwnd=13 ssthresh=9 snd_wnd=1878912 srtt=152273 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219134.816928: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x86432484 snd_una=0x8642beb4 snd_cwnd=12 ssthresh=9 snd_wnd=1878912 srtt=153067 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219134.831634: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x86432a2c snd_una=0x8642beb4 snd_cwnd=12 ssthresh=9 snd_wnd=1878912 srtt=152519 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] .Ns. 219134.851231: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x86432a2c snd_una=0x8642beb4 snd_cwnd=11 ssthresh=9 snd_wnd=1878912 srtt=153878 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219134.874803: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x86432a2c snd_una=0x8642beb4 snd_cwnd=9 ssthresh=9 snd_wnd=1878912 srtt=154501 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219134.899071: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x8643357c snd_una=0x8642beb4 snd_cwnd=9 ssthresh=9 snd_wnd=1878912 srtt=154912 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219134.912980: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x864340cc snd_una=0x8642beb4 snd_cwnd=9 ssthresh=9 snd_wnd=1878912 srtt=155295 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219134.922608: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x86434674 snd_una=0x8642beb4 snd_cwnd=9 ssthresh=9 snd_wnd=1878912 srtt=155853 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219134.946972: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x86434c1c snd_una=0x86431934 snd_cwnd=9 ssthresh=9 snd_wnd=1864320 srtt=155997 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219134.989816: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x8643576c snd_una=0x86432484 snd_cwnd=9 ssthresh=9 snd_wnd=1878912 srtt=156167 rcv_wnd=65024 sock_cookie=6c
          <idle>-0       [001] ..s. 219135.013878: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:55116 mark=0x0 data_len=0 snd_nxt=0x864362bc snd_una=0x86432fd4 snd_cwnd=10 ssthresh=9 snd_wnd=1878912 srtt=158256 rcv_wnd=65024 sock_cookie=6c
